date,gold,br,ind,tw,kor,uk,us,jp,kor10y,kor3y,us10y,us3y,euro
2022-09-07,0.48873574,-0.0726035275,-0.16900215,0.18475926,0.47536904,0.77555484,-0.5918051,-0.9957323,0.42904297,0.32959157,0.37813073,0.35433635,-0.748
2022-09-08,-0.22245443,-0.072635815,-0.1661722,0.19457391,0.26501954,0.7536691,-0.605405,-0.99369824,0.43042588,0.321077,0.3786372,0.3529905,0.1666
2022-09-09,0.28989714,-0.0922045,-0.16439322,0.191537205,0.28126942666666666,0.7140788,-0.60557765,-0.9808091,0.43350002,0.32519591666666664,0.38153988,0.354108,-0.6981
2022-09-12,0.015981905,-0.116076365,-0.16253033,0.1885005,0.29751931333333337,0.6412528,-0.5920932,-0.97556996,0.43657416,0.32931483333333333,0.3829222,0.35118622,-0.3326
2022-09-13,-0.21107137,-0.10612601,-0.15743041,0.19128902,0.3137692,0.7150228,-0.55899,-0.9664885,0.4396483,0.33343375,0.383937,0.34981883,-0.2117
2022-09-14,0.4052542,-0.10971609,-0.15296233,0.16893992,1.2732689,0.73816854,-0.5250105,-0.98185074,0.44205284,0.3290506,0.38259956,0.34214342,-0.4188
2022-09-15,0.48703644,-0.10548189,-0.16165856,0.18180262,1.4640738,0.68845963,-0.50337553,-0.96082234,0.44442424,0.33777994,0.3826943,0.33435193,1.244
2022-09-16,0.4707947,-0.077257484,-0.17211148,0.19105762,1.11055,0.66367227,-0.48011604,-0.9589708,0.43200028,0.32631958,0.38286364,0.33002672,0.1136
2022-09-19,1.2139052,-0.09757985,-0.18197368,0.19509095,0.71790063,0.677557135,-0.45722547,-0.93901135,0.43383065,0.3270954,0.38353023,0.3279714,1.1157
2022-09-20,1.2262927,-0.117735185,-0.18585384,0.20397907,-0.26443774,0.691442,-0.4412201,-0.9190519,0.43366686,0.32880312,0.3841242,0.3258714,1.7343
2022-09-21,1.5476365,-0.10929621,-0.18955843,0.21726888,-0.35719603,0.67671424,-0.42828515,-0.9607557,0.43516713,0.32491863,0.38227567,0.3229038,-1.4166
2022-09-22,1.22221,-0.106555186,-0.19516109,0.2155952,-0.11017113,0.6966127,-0.42786303,-0.9891397,0.42952448,0.32009923,0.38226774,0.3193967,-0.6758
2022-09-23,1.1006886,-0.08272615,-0.2006683,0.22506933,0.8767889,0.6617884,-0.41820404,-0.99480485,0.4242267,0.30773687,0.3780839,0.3140697,-0.5724
2022-09-26,0.7842972,-0.08098047,-0.22608562,0.20711431,0.8464077,0.66859204,-0.41659978,-1.00047,0.41569927,0.30113548,0.37583908,0.30850607,-0.2155
2022-09-27,1.4354063,-0.07122908,-0.24013524,0.21188563,0.99288315,0.62916213,-0.40899965,-0.913862,0.3980522,0.27811998,0.37092528,0.30113176,0.1336
2022-09-28,1.1009182,-0.0575107,-0.25162634,0.21102758,0.35429174,0.65438384,-0.39774957,-0.9437995,0.40585542,0.30090123,0.36623016,0.29762465,0.6666
2022-09-29,0.46680942,-0.035463896,-0.25794277,0.19847916,-0.8290916,0.66863084,-0.38598996,-0.9567405,0.4116475,0.31025815,0.36861286,0.307144,-2.3654
2022-09-30,1.4450456,-0.023796642,-0.24733844,0.17699829,-0.0029590353,0.67827195,-0.380429,-0.92568564,0.42061976,0.30133742,0.37926942,0.30981702,-0.8184
2022-10-03,1.0728928,-0.015173452,-0.1986163,0.1858164,-0.03622973765,0.63254285,-0.3760809,-0.952454,0.42630708,0.3096793,0.3829687,0.306882,0.8962
2022-10-04,1.394164,-0.03586318,-0.17806266,0.17463371,-0.06950044,0.6362878,-0.3767737,-0.93630266,0.4319944,0.31802118,0.38703057,0.3084348,0.4494
2022-10-05,0.5637767,-0.069827035,-0.183724155,0.17079875,0.23233876,0.68108565,-0.39334184,-0.9513979,0.44980264,0.33106017,0.39445066,0.31107077,-0.8829
2022-10-06,0.55232984,-0.077006064,-0.18938565,0.16577396,0.6011835,0.68663955,-0.40463248,-0.8922185,0.44973707,0.3226102,0.394961,0.30948412,-0.642
2022-10-07,0.9376348,-0.06722156,-0.20605904,0.15147924,0.43899953,0.67520505,-0.4192793,-0.9906181,0.4525942,0.31973118,0.3920771,0.305832,0.5558
2022-10-10,1.5793144,-0.086613946,-0.19633855,0.12643247999999999,0.453682715,0.6466063,-0.42688766,-0.97780442,0.44959982,0.31489459,0.38911602,0.30138385,-0.7001
2022-10-11,1.2638987,-0.07994666,-0.21131964,0.10138572,0.4683659,0.65016925,-0.43770993,-0.96499074,0.44660544,0.310058,0.3859778,0.2984725,-1.3853
2022-10-12,1.3657168,-0.07203361999999999,-0.21470588,0.09098877,0.5524209,0.6381347,-0.45679927,-0.97119296,0.44029963,0.3049528,0.38460812,0.2991629,0.5752
2022-10-13,1.2119948,-0.06412058,-0.22448379,0.0795764,0.6456796,0.62896204,-0.47126672,-1.0284026,0.45598155,0.33058363,0.38627836,0.301988,-0.6337
2022-10-14,0.58337796,-0.041898932,-0.2303021,0.056264233,0.6359114,0.60440165,-0.4758875,-0.946383,0.44681838,0.32283473,0.3872853,0.2952941,1.4269
2022-10-17,0.80694383,-0.07325546,-0.21215063,0.034532342,0.30747345,0.56736374,-0.4751989,-1.0156856,0.45778787,0.31877267,0.38674122,0.29029858,-0.2752
2022-10-18,1.0331384,-0.091946766,-0.21259505,0.05164084,0.20780444,0.6287055,-0.45078623,-1.0002455,0.46543005,0.31896633,0.38636333,0.29262218,0.5836
2022-10-19,0.8190439,-0.096204415,-0.21286155,0.06390819,-0.4783965,0.68966085,-0.4630412,-1.0117371,0.46187538,0.31785393,0.38798785,0.29504773,0.0514
2022-10-20,0.9562927,-0.0904002,-0.2142544,0.050943937,-0.55637,0.6741131,-0.4675563,-1.0361269,0.45506606,0.31096858,0.3872211,0.29091555,0.9565
2022-10-21,0.62537813,-0.07866186,-0.21691938,0.052697234,-0.57263577,0.68830305,-0.47381085,-1.0129313,0.45671088,0.31405073,0.38301596,0.28585163,0.316
2022-10-24,0.81609106,-0.06950369,-0.21693507,0.06369115,-0.29189727,0.6683808,-0.47682625,-1.029933,0.42856202,0.29792446,0.37978774,0.29073775,0.329
2022-10-25,0.64058095,-0.07340772,-0.22573632,0.06480671,-0.57724166,0.6791628,-0.45822445,-0.98862493,0.44613618,0.32356256,0.38057134,0.2931459,-0.422
2022-10-26,1.7347958,-0.051316995,-0.229553295,0.06418704,1.1311153,0.76031053,-0.4580725,-0.99641705,0.46384957,0.3282562,0.38307738,0.2961505,-0.1252
2022-10-27,0.9589,-0.047451783,-0.23337027,0.06967433,-0.30245775,0.74138623,-0.4551658,-1.0066057,0.48590213,0.32982624,0.39130467,0.2999421,0.9483
2022-10-28,0.49084842,-0.038787927,-0.24214336,0.0640452,-0.53548205,0.7168981,-0.42480206,-1.0052153,0.4934146,0.32648647,0.3978981,0.30638427,-1.8179
2022-10-31,0.6212318,-0.042130757,-0.26150262,0.07106034,-0.7572414,0.71342045,-0.4427344,-1.0559694,0.51082605,0.33120167,0.4026367,0.30609724,-0.749
2022-11-01,1.1356213,-0.019102672,-0.17059019,0.08068408,0.06177733,0.8315391,-0.4496328,-1.0312332,0.5043837,0.3255704,0.4021023,0.30080914,-0.3175
